"condition_var","condition_name","impact_high","impact_low","impact_ratio"
"VIX_return","Volatility",0.00178309323049688,0.00166172693542194,1.07303624469692
"BAMLH0A0HYM2_diff","Credit Spread Change",0.00171448386978367,0.00178750312268942,0.959150139667513
"VIXCLS","Market Volatility Level",0.00160186776523915,0.0018956325469162,0.845030735437125
