playlist_name,video_count,dict_mean,sentimentr_mean,ollama_mean,finbert_mean,dict_sd,sentimentr_sd,ollama_sd,finbert_sd,four_method_agreement,avg_disagreement,dict_positive_rate,sentimentr_positive_rate,ollama_positive_rate,finbert_positive_rate
"Bloomberg Surveillance with Jon, Lisa and Annmarie (Full shows)",322,-0.4641497431433423,0.03644951150145707,0.1731366459627329,0.5409038808798383,0.10670027264632477,0.029916701336600487,0.36928461609869073,0.24151902539337972,17.080745341614907,1.5896777954707133,23.91304347826087,9.937888198757763,34.47204968944099,76.3975155279503
"Bloomberg Surveillance with Tom, Jon and Lisa (Full Shows)",319,-0.49514374889999146,0.045119186528336144,0.0818808777429467,0.6134874737620073,0.0910668482841276,0.029015567786625056,0.38381022348558896,0.19825636100908647,12.225705329153605,1.7047929387457283,13.166144200626958,14.420062695924765,23.197492163009404,84.32601880877742
Bloomberg The Close (Full Shows),310,-0.3195500221778453,0.07157388381249978,0.16145161290322582,0.18723861275300865,0.13369655236620986,0.030755962748202227,0.41866580648730073,0.280752845852458,18.387096774193548,1.1480044373491451,72.25806451612902,45.806451612903224,38.70967741935484,23.870967741935484
Bloomberg The China Show,275,-0.3028663190300053,0.08711367772613252,0.14200000000000002,0.15393569040704858,0.14849585089371153,0.028280478680499415,0.3794319611454551,0.3504608003254033,10.181818181818182,1.1300137146439526,73.0909090909091,76.36363636363637,29.09090909090909,22.545454545454547
The Opening Trade,244,-0.3754686208047329,0.053506760078232164,0.16557377049180333,0.42481237701064006,0.14611190592288,0.03320422861088046,0.3169155595766394,0.2765448611498816,17.62295081967213,1.3310481672307442,53.278688524590166,28.278688524590162,22.950819672131146,58.606557377049185
Bloomberg Surveillance Radio with Tom Keene and Paul Sweeney,222,-0.38536273475063476,0.17022162327860096,0.21644144144144137,0.7763113422352854,0.09451608448187325,0.030491344665924448,0.21231847438324486,0.1463664860337808,18.01801801801802,1.6921872070710102,53.6036036036036,100,31.98198198198198,95.04504504504504
The Asia Trade,193,-0.35226338044798905,0.07560487375859219,0.09430051813471503,0.09305373972542394,0.1240007973559473,0.02222184638703984,0.40200493991800673,0.3084669612432777,14.507772020725387,1.1296799033131837,62.17616580310881,73.05699481865285,26.94300518134715,17.616580310880828
Bloomberg Open Interest,189,-0.32364590988416053,0.08740102744528941,0.14603174603174604,0.15652209481904433,0.14602340402417982,0.02461494836209822,0.42610634354361066,0.29683409654341586,12.16931216931217,1.161885141730032,68.78306878306879,81.48148148148148,35.44973544973545,20.634920634920633
"Horizons Middle East, Africa",102,-0.402252913752923,0.07558604572598669,0.1485294117647059,0.012003486537758047,0.14415796644881915,0.01767357386745271,0.33005069235258844,0.29436218169169576,26.47058823529412,1.1245104415545104,43.13725490196079,69.6078431372549,25.49019607843137,9.803921568627452
