method,count,mean,median,sd,min,max,q25,q75,skewness,kurtosis
Dictionary,2177,-0.38462389032130695,-0.394891944990177,0.14243654372988446,-0.740831295843521,0.322751322751323,-0.484126984126984,-0.296037296037296,0.5552464448266612,0.7732866080954524
SentimentR,2177,0.07442476777448415,0.0649094815722106,0.04668028614494168,-0.00257189859045266,0.26976765680141,0.0382289470856296,0.0980540082936249,1.0300627910151006,0.7501711421949611
Ollama,2177,0.14748277446026642,0.2,0.37031609461152076,-0.8,0.8,0.2,0.4,-1.0054779253039083,0.37159383015712644
FinBERT,2177,0.36530497013028673,0.40104029327631,0.35966376679517215,-0.881345797330141,0.901229839771986,0.0620681643486023,0.694913171231747,-0.48771608369554464,-0.40225818796360935
