weekday,total_days,missing_days,missing_percentage
Friday,437,10,2.2883295194508007
Monday,436,24,5.5045871559633035
Saturday,142,122,85.91549295774648
Sunday,142,141,99.29577464788733
Thursday,469,12,2.55863539445629
Tuesday,460,8,1.7391304347826086
Wednesday,435,18,4.137931034482759
