"Model","RMSE","MAE","R_squared","Sentiment_Significant","Sentiment_Rank"
"Linear (Sentiment Only)",0.00921384309533367,0.00648331149011944,0.000307090606194821,"FALSE","N/A"
"Linear (All Features)",0.00928223205059049,0.00656113612397624,0.0242115926811144,"FALSE","N/A"
"Random Forest (Tuned)",0.00937160760411555,0.0066785772884006,1.95296017062107e-05,"N/A","24 of 30"
"XGBoost (Tuned)",0.00956076170373906,0.00690548707235664,0.00723146446687791,"N/A","3 of 30"
