"Model","R_squared","RMSE_train","RMSE_test","MAE_test","Sentiment_significant"
"Linear (Sentiment Only)",3.67557468724804e-05,0.0100609401920572,0.00920814142466863,0.00647971692797494,"FALSE"
"Multiple Linear",0.0329739460142659,0.00989385716900637,0.0093167577831363,0.00643605708255183,"FALSE"
"Random Forest",0.00904617450548778,7.8080761260744e-05,0.00964911871972799,0.00688427502450587,"N/A"
"XGBoost",0.000463111953418882,0.0033134489151077,0.00982299003818256,0.00715054340707004,"N/A"
