Metric,Value
Bloomberg Playlists,12
Total Videos,"5,766"
Full Episodes (≥10 min),"2,216"
Videos with Transcripts,"2,179"
Years Covered,2.7
Total Words,"40,236,988"
Avg Words per Video,"18,466"
Total Video Hours,4302
Data Size (GB),0.86
