date,video_count,dict_sentiment_avg,sentimentr_score_avg,finbert_score_avg,ollama_score_avg,simple_sentiment_index,sentiment_std,total_views,total_likes,duration_weighted_sentiment,view_weighted_sentiment,like_weighted_sentiment,weighted_sentiment_index,simple_sentiment_7day,weighted_sentiment_7day
2022-09-14,1,-0.563884156729131,NA,NA,NA,-0.563884156729131,NA,70181,174,-0.563884156729131,-0.563884156729131,-0.563884156729131,-0.563884156729131,NA,NA
2022-09-15,1,-0.477203647416413,NA,NA,NA,-0.477203647416413,NA,40518,157,-0.477203647416413,-0.477203647416413,-0.477203647416413,-0.4772036474164131,NA,NA
2022-09-16,1,-0.571214392803598,NA,NA,NA,-0.571214392803598,NA,193498,328,-0.571214392803598,-0.571214392803598,-0.571214392803598,-0.571214392803598,NA,NA
2022-09-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-20,2,-0.5975158746772731,NA,NA,NA,-0.5975158746772731,0.014604954799471066,58810,312,-0.6009541121884381,-0.5979903585840907,-0.5978717105433601,-0.5983967015705264,NA,NA
2022-09-20,2,-0.5975158746772731,NA,NA,NA,-0.5975158746772731,0.014604954799471066,58810,312,-0.6009541121884381,-0.5979903585840907,-0.5978717105433601,-0.5983967015705264,NA,NA
2022-09-21,1,-0.539033457249071,NA,NA,NA,-0.539033457249071,NA,16884,98,-0.539033457249071,-0.539033457249071,-0.539033457249071,-0.539033457249071,NA,NA
2022-09-22,1,-0.543434343434343,NA,NA,NA,-0.543434343434343,NA,55851,172,-0.543434343434343,-0.543434343434343,-0.543434343434343,-0.543434343434343,NA,NA
2022-09-23,1,-0.696,NA,NA,NA,-0.696,NA,324412,550,-0.696,-0.696,-0.696,-0.696,NA,NA
2022-09-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-26,1,-0.52,NA,NA,NA,-0.52,NA,36385,242,-0.52,-0.52,-0.52,-0.52,NA,NA
2022-09-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-28,1,-0.547703180212014,NA,NA,NA,-0.547703180212014,NA,34732,156,-0.547703180212014,-0.547703180212014,-0.547703180212014,-0.547703180212014,NA,NA
2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-30,1,-0.602510460251046,NA,NA,NA,-0.602510460251046,NA,112611,401,-0.602510460251046,-0.6025104602510459,-0.602510460251046,-0.602510460251046,NA,NA
2022-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-03,1,-0.506216696269982,NA,NA,NA,-0.506216696269982,NA,59351,438,-0.506216696269982,-0.506216696269982,-0.506216696269982,-0.506216696269982,NA,NA
2022-10-04,1,-0.498054474708171,NA,NA,NA,-0.498054474708171,NA,50916,247,-0.498054474708171,-0.498054474708171,-0.498054474708171,-0.498054474708171,NA,NA
2022-10-05,1,-0.562248995983936,NA,NA,NA,-0.562248995983936,NA,50424,184,-0.562248995983936,-0.562248995983936,-0.562248995983936,-0.562248995983936,NA,NA
